tconst,averageRating,numVotes
tt0015768,7.0,2520
tt0015772,6.6,2408
tt0015841,7.5,6351
tt0015842,7.0,1796
tt0015863,7.1,5320
tt0015864,8.1,124215
tt0015873,7.7,1255
tt0015881,8.0,11254
tt0016004,7.2,1464
tt0016028,6.8,1099
tt0016029,7.0,1989
tt0016039,6.9,6196
tt0016104,7.2,2685
tt0016123,6.2,1449
tt0016220,7.5,21228
tt0016230,5.8,3080
tt0016332,7.8,12447
tt0016394,6.9,1144
tt0016473,7.1,2409
tt0016481,7.4,1487
tt0016544,4.9,1859
tt0016627,7.1,1368
tt0016630,7.0,4203
tt0016641,7.8,8191
tt0016654,7.0,2266
tt0016669,7.2,1739
tt0016690,6.2,1554
tt0016804,7.0,1005
tt0016822,6.9,1127
tt0016847,8.1,17548
tt0016884,7.6,4809
tt0016895,7.5,2063
tt0016953,6.6,1036
tt0017048,7.3,5006
tt0017075,7.3,14342
tt0017128,7.4,3202
tt0017136,8.3,194850
tt0017196,6.6,1013
tt0017271,7.6,1287
tt0017350,7.6,2078
tt0017416,6.6,2203
tt0017423,7.3,1599
tt0017437,6.6,1027
tt0017448,7.1,2849
tt0017449,6.9,1415
tt0017463,7.5,1612
tt0017534,6.6,2010
tt0017567,6.9,1017
tt0017664,7.1,1586
tt0017668,7.6,4971
tt0017739,7.0,3626
tt0017743,6.8,1200
tt0017765,6.9,5698
tt0017775,7.0,2383
tt0017813,6.8,1194
tt0017825,6.0,3310
tt0017836,6.5,1108
tt0017843,5.4,3216
tt0017871,6.5,1074
tt0017925,8.1,102964
tt0017938,6.9,1003
tt0017961,7.3,1236
tt0018033,7.2,3822
tt0018037,6.4,11547
tt0018051,7.6,5062
tt0018054,7.3,2557
tt0018066,7.3,1927
tt0018083,6.7,1251
tt0018097,6.7,1529
tt0018107,6.8,1262
tt0018192,8.2,9408
tt0018217,7.4,8797
tt0018294,6.6,1118
tt0018311,6.8,1554
tt0018328,6.1,4149
tt0018379,7.5,4449
tt0018440,6.4,1114
tt0018451,7.5,1755
tt0018455,8.1,55504
tt0018471,7.1,1693
tt0018505,7.3,1399
tt0018515,6.6,1220
tt0018526,7.5,3704
tt0018528,7.7,9850
tt0018578,7.5,15481
tt0018618,6.2,1233
tt0018675,6.2,1068
tt0018684,7.4,1439
tt0018737,7.7,12493
tt0018742,8.0,13923
tt0018756,5.4,2866
tt0018770,7.2,4823
tt0018773,8.1,37461
tt0018806,8.0,9695
tt0018839,7.5,5314
tt0018873,6.8,1508
tt0018876,5.8,3294
tt0018890,7.2,1433
tt0018925,6.5,1152
tt0019071,7.9,4835
tt0019074,7.5,2238
tt0019079,6.7,1148
tt0019096,5.7,1010
tt0019109,7.7,2799
tt0019130,7.6,8730
tt0019195,7.2,1511
tt0019237,6.7,2120
tt0019254,8.1,65277
tt0019258,7.4,2868
tt0019267,7.1,1662
tt0019278,7.0,2462
tt0019286,7.0,2424
tt0019304,6.6,1750
tt0019344,7.2,2930
tt0019379,7.6,4139
tt0019400,6.3,1088
tt0019412,7.6,4597
tt0019415,7.5,4178
tt0019421,7.8,16920
tt0019422,7.4,12099
tt0019429,7.3,2711
tt0019504,7.2,1635
tt0019556,6.8,1133
tt0019558,7.3,1983
tt0019563,7.2,2059
tt0019574,6.8,1054
tt0019585,8.0,7538
tt0019591,7.1,1817
tt0019607,6.6,1332
tt0019611,7.1,1231
tt0019630,5.6,1035
tt0019644,7.1,1553
tt0019646,7.5,1210
