tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0069393,movie,Tomorrow,Tomorrow,0.0,1972.0,,103.0,Drama,7.4,1726
tt0069398,movie,All's Well,Tout va bien,0.0,1972.0,,95.0,Drama,6.5,4038
tt0069400,movie,Traffic,Trafic,0.0,1971.0,,96.0,Comedy,7.0,7979
tt0069404,movie,Travels with My Aunt,Travels with My Aunt,0.0,1972.0,,108.0,"Adventure,Comedy",6.3,2857
tt0069414,movie,Trouble Man,Trouble Man,0.0,1972.0,,99.0,"Action,Crime,Drama",6.7,1701
tt0069421,movie,Your Vice Is a Locked Room and Only I Have the Key,Il tuo vizio è una stanza chiusa e solo io ne ho la chiave,0.0,1972.0,,97.0,"Drama,Horror,Mystery",6.6,5057
tt0069427,movie,Twins of Evil,Twins of Evil,0.0,1971.0,,87.0,"Drama,Horror",6.6,7061
tt0069436,movie,Ulzana's Raid,Ulzana's Raid,0.0,1972.0,,103.0,"Adventure,Drama,Western",7.0,6875
tt0069442,movie,A Gorgeous Girl Like Me,Une belle fille comme moi,0.0,1972.0,,98.0,"Comedy,Crime,Drama",6.5,2893
tt0069449,movie,Up the Sandbox,Up the Sandbox,0.0,1972.0,,97.0,"Comedy,Drama",5.7,1767
tt0069451,movie,The Valley (Obscured by Clouds),La vallée,0.0,1972.0,,101.0,Drama,6.4,1516
tt0069452,movie,Walter Defends Sarajevo,Valter brani Sarajevo,0.0,1972.0,,133.0,"Action,War",8.1,3123
tt0069460,movie,The Annuity,Le viager,0.0,1972.0,,101.0,Comedy,6.9,1330
tt0069464,movie,Virgin Witch,Virgin Witch,0.0,1971.0,,88.0,Horror,4.9,1689
tt0069466,movie,The Visitors,The Visitors,0.0,1972.0,,88.0,"Crime,Drama",6.3,1672
tt0069467,movie,Cries & Whispers,Viskningar och rop,0.0,1972.0,,92.0,Drama,7.9,38585
tt0069492,movie,Wesele,Wesele,0.0,1973.0,,102.0,Drama,6.9,1438
tt0069495,movie,"What's Up, Doc?","What's Up, Doc?",0.0,1972.0,,94.0,"Comedy,Romance",7.7,28847
tt0069515,movie,The Wrath of God,The Wrath of God,0.0,1972.0,,111.0,"Adventure,Drama,Western",6.0,1373
tt0069516,movie,"X, Y & Zee",Zee and Co.,0.0,1972.0,,110.0,Drama,5.8,1503
tt0069518,movie,Triple Irons,Xin du bi dao,0.0,1971.0,,102.0,"Action,Drama",7.2,1845
tt0069528,movie,Young Winston,Young Winston,0.0,1972.0,,124.0,"Biography,Drama,War",6.7,3159
